A_ci=gco2;A_ca=gco2;stomatal_limitation;;;;;
1,855936;0,1314567;1,724;180;100%Long Ashton;O.pes-caprae;;The values on this sheet were used to calculate stomatal limitation
-2,928043;-1,391788;52,467;180;100%Long Ashton;O.pes-caprae;;
1,949302;1,165894;40,189;180;100%Long Ashton;O.pes-caprae;;
1,986739;1,135237;42,859;180;100%Long Ashton;O.pes-caprae;;
4,039444;2,817614;30,247;180;100%Long Ashton;O.pes-caprae;;
6,476583;5,236127;19,153;240;100%Long Ashton;O.pes-caprae;;
2,035581;1,138783;44,056;240;100%Long Ashton;O.pes-caprae;;
3,466099;1,369722;60,482;240;100%Long Ashton;O.pes-caprae;;
0,7315465;0,08414105;88,498;240;100%Long Ashton;O.pes-caprae;;
6,670225;5,182357;22,306;240;100%Long Ashton;O.pes-caprae;;
9,293483;8,233105;11,410;300;100%Long Ashton;O.pes-caprae;;
4,711108;3,556488;24,508;300;100%Long Ashton;O.pes-caprae;;
0,248361;-0,01041014;104,192;300;100%Long Ashton;O.pes-caprae;;
-0,2896195;-0,081309;71,926;300;100%Long Ashton;O.pes-caprae;;
0,2612137;-0,009387935;103,594;300;100%Long Ashton;O.pes-caprae;;
20,66365;14,61224;29,285;180;50%Long Ashton;O.punctata;;
15,22658;9,660071;36,558;180;50%Long Ashton;O.punctata;;
15,85466;11,10905;29,932;180;50%Long Ashton;O.punctata;;
22,82264;16,90218;25,941;280;50%Long Ashton;O.punctata;;
20,35046;14,55777;28,465;280;50%Long Ashton;O.punctata;;
24,0818;20,51494;14,811;280;50%Long Ashton;O.punctata;;
25,70653;20,7614;19,237;400;50%Long Ashton;O.punctata;;
28,74682;25,23632;12,212;400;50%Long Ashton;O.punctata;;
33,59481;27,40202;18,434;400;50%Long Ashton;O.punctata;;
20,66365;14,97514;27,529;180;100%Long Ashton;O.punctata;;
15,22658;9,830926;35,436;180;100%Long Ashton;O.punctata;;
15,85466;11,10905;29,932;180;100%Long Ashton;O.punctata;;
22,82264;16,90218;25,941;280;100%Long Ashton;O.punctata;;
20,35046;14,55777;28,465;280;100%Long Ashton;O.punctata;;
24,0818;20,51494;14,811;280;100%Long Ashton;O.punctata;;
25,70653;20,7614;19,237;400;100%Long Ashton;O.punctata;;
28,74682;25,23632;12,212;400;100%Long Ashton;O.punctata;;
33,59481;27,40202;18,434;400;100%Long Ashton;O.punctata;;
