Expt;Spp;LA;CO2S;Ci;Tleaf;Photo;Rep;GCO2
1;punct;100;389,00;306,91;20,46;37,5;1;180
1;punct;100;290,98;216,92;20,47;32,2;1;180
1;punct;100;194,10;144,00;20,47;21,2;1;180
1;punct;100;97,91;81,21;20,47;7,1;1;180
1;punct;100;50,22;48,95;20,47;0,2;1;180
1;punct;100;387,86;291,67;20,48;42,5;1;180
1;punct;100;486,98;357,65;20,48;46,8;1;180
1;punct;100;586,19;426,07;20,48;49,5;1;180
1;punct;100;685,83;505,76;20,49;51,3;1;180
1;punct;100;785,64;600,87;20,48;50,9;1;180
1;punct;100;885,79;695,56;20,49;50,2;1;180
1;punct;100;390,64;304,67;20,49;33,82;2;180
1;punct;100;293,47;206,40;20,49;23,33;2;180
1;punct;100;195,82;134,36;20,49;15,62;2;180
1;punct;100;98,58;78,62;20,49;5,77;2;180
1;punct;100;50,48;56,12;20,49;-2,33;2;180
1;punct;100;390,15;291,67;20,49;34,06;2;180
1;punct;100;489,30;372,15;20,49;38,26;2;180
1;punct;100;588,90;430,89;20,49;39,52;2;180
1;punct;100;689,38;469,16;20,49;38,83;2;180
1;punct;100;789,63;517,25;20,49;37,85;2;180
1;punct;100;889,71;589,84;20,49;37,20;2;180
1;punct;100;390,84;174,73;20,12;13,24;3;180
1;punct;100;292,48;135,00;20,14;10,76;3;180
1;punct;100;194,79;99,42;20,07;7,34;3;180
1;punct;100;97,81;62,34;20,05;3,02;3;180
1;punct;100;388,95;203,54;20,01;16,02;3;180
1;punct;100;487,51;253,05;19,87;17,90;3;180
1;punct;100;586,69;287,97;19,94;19,01;3;180
1;punct;100;685,90;338,35;19,94;20,16;3;180
1;punct;100;785,31;396,86;20,00;21,04;3;180
1;punct;100;884,75;465,05;19,96;21,58;3;180
1;punct;100;386,44;313,32;20,47;18,46;4;180
1;punct;100;289,05;228,59;20,47;15,00;4;180
1;punct;100;192,97;152,28;20,48;9,66;4;180
1;punct;100;97,32;82,13;20,48;3,41;4;180
1;punct;100;49,76;49,03;20,48;-0,04;4;180
1;punct;100;387,52;308,90;20,49;17,03;4;180
1;punct;100;486,10;386,97;20,49;18,92;4;180
1;punct;100;585,51;467,53;20,49;19,79;4;180
1;punct;100;684,98;547,50;20,49;20,16;4;180
1;punct;100;784,97;632,28;20,50;20,29;4;180
1;punct;100;884,82;723,10;20,49;20,07;4;180
1;punct;100;392,13;211,02;19,98;11,35;1;280
1;punct;100;291,29;190,29;19,88;12,25;1;280
1;punct;100;194,34;143,96;19,83;7,92;1;280
1;punct;100;99,20;93,51;19,79;0,81;1;280
1;punct;100;68,17;76,22;19,87;-2,05;1;280
1;punct;100;385,99;287,38;19,73;19,81;1;280
1;punct;100;484,19;339,16;19,84;22,31;1;280
1;punct;100;583,23;379,10;19,97;23,92;1;280
1;punct;100;682,48;428,36;19,98;25,02;1;280
1;punct;100;782,08;486,49;20,00;25,56;1;280
1;punct;100;881,78;555,31;20,01;25,86;1;280
1;punct;100;385,10;347,02;18,31;19,92;2;280
1;punct;100;290,25;255,88;18,68;12,94;2;280
1;punct;100;193,49;161,36;19,24;8,95;2;280
1;punct;100;98,58;89,99;19,62;1,69;2;280
1;punct;100;68,88;71,53;19,70;-1,00;2;280
1;punct;100;383,88;293,83;19,49;22,39;2;280
1;punct;100;481,59;367,73;19,54;25,66;2;280
1;punct;100;580,46;436,52;19,66;27,09;2;280
1;punct;100;679,76;491,96;19,88;28,21;2;280
1;punct;100;779,43;550,86;20,04;28,83;2;280
1;punct;100;879,05;624,03;20,10;29,22;2;280
1;punct;100;392,97;261,26;20,76;25,90;3;280
1;punct;100;294,26;202,85;20,71;21,40;3;280
1;punct;100;196,02;142,14;20,67;14,38;3;280
1;punct;100;98,84;82,75;20,64;4,51;3;280
1;punct;100;50,23;52,92;20,64;-1,18;3;280
1;punct;100;392,72;306,82;20,62;26,21;3;280
1;punct;100;491,96;391,74;20,64;28,57;3;280
1;punct;100;591,29;460,41;20,72;30,17;3;280
1;punct;100;691,58;515,98;20,80;30,24;3;280
1;punct;100;791,76;596,97;20,81;29,00;3;280
1;punct;100;892,24;703,77;20,82;26,82;3;280
1;punct;100;388,17;299,04;22,28;16,61;1;400
1;punct;100;290,64;220,97;22,26;13,31;1;400
1;punct;100;194,49;155,69;22,26;7,56;1;400
1;punct;100;98,77;91,00;22,30;1,37;1;400
1;punct;100;67,76;70,60;22,37;-0,82;1;400
1;punct;100;387,34;294,93;22,14;18,14;1;400
1;punct;100;485,21;369,30;22,09;20,78;1;400
1;punct;100;584,02;440,19;22,22;22,67;1;400
1;punct;100;683,39;501,44;22,50;23,59;1;400
1;punct;100;783,06;563,46;22,74;23,56;1;400
1;punct;100;883,23;618,64;23,02;23,68;1;400
1;punct;100;383,99;317,24;22,61;22,960;2;400
1;punct;100;287,96;235,53;22,55;17,034;2;400
1;punct;100;192,30;161,01;22,66;10,797;2;400
1;punct;100;98,26;91,31;22,90;2,269;2;400
1;punct;100;68,21;69,95;23,17;-0,952;2;400
1;punct;100;384,13;322,31;22,98;22,375;2;400
1;punct;100;481,12;405,44;23,03;26,460;2;400
1;punct;100;579,51;486,30;23,06;28,347;2;400
1;punct;100;679,18;562,06;22,91;29,389;2;400
1;punct;100;778,77;639,89;22,99;29,954;2;400
1;punct;100;878,46;722,25;23,11;29,941;2;400
1;punct;100;387,77;253,36;22,59;17,69;3;400
1;punct;100;289,61;201,02;22,43;15,25;3;400
1;punct;100;192,84;143,03;22,37;9,61;3;400
1;punct;100;98,34;86,71;22,31;2,25;3;400
1;punct;100;67,03;67,66;22,34;-0,40;3;400
1;punct;100;384,82;289,44;22,15;21,27;3;400
1;punct;100;481,98;359,10;22,20;25,34;3;400
1;punct;100;580,93;414,51;22,36;27,06;3;400
1;punct;100;680,02;461,14;22,43;28,25;3;400
1;punct;100;780,05;526,02;22,66;28,76;3;400
1;punct;100;878,87;600,59;22,76;28,83;3;400
1;punct;50;391,10;332,89;20,60;29,61;1;180
1;punct;50;292,86;238,77;20,66;24,56;1;180
1;punct;50;196,08;153,34;20,77;13,44;1;180
1;punct;50;99,06;85,09;20,85;2,76;1;180
1;punct;50;50,38;59,25;20,87;-2,07;1;180
1;punct;50;392,81;268,49;20,86;25,57;1;180
1;punct;50;491,43;346,44;20,86;30,80;1;180
1;punct;50;590,96;441,95;20,86;31,74;1;180
1;punct;50;691,10;542,94;20,86;31,07;1;180
1;punct;50;791,42;647,41;20,86;29,31;1;180
1;punct;50;891,88;751,02;20,86;27,53;1;180
1;punct;50;394,11;318,86;20,97;19,82;2;180
1;punct;50;296,06;217,91;21,12;13,76;2;180
1;punct;50;198,01;153,72;21,20;6,68;2;180
1;punct;50;99,93;98,35;21,17;-0,19;2;180
1;punct;50;51,15;72,22;21,14;-4,86;2;180
1;punct;50;393,18;282,27;21,10;24,40;2;180
1;punct;50;491,24;359,49;21,05;30,31;2;180
1;punct;50;590,67;445,89;21,03;32,36;2;180
1;punct;50;690,46;535,11;21,05;32,67;2;180
1;punct;50;790,72;631,65;21,08;31,47;2;180
1;punct;50;891,07;732,76;21,05;29,73;2;180
1;punct;50;392,50;300,94;20,45;26,48;3;180
1;punct;50;294,19;206,73;20,46;21,19;3;180
1;punct;50;196,02;140,07;20,47;14,21;3;180
