Vegetation Type;BOUT ID;Date;Start;Species;Total grams per 30 min bout;Foragers;Grams/Forager Hr;Kcal/g;Source;n;return(400);return(300);return(240);return(180)
Dune fynbos-thicket mos.;4;13 December 2014;0,478472222;Carpobrotus acinaciformis;342;2;341.5;0.6408;Sp;1;219;167,2148922;132,1155943;93,99512162
Dune fynbos-thicket mos.;5;13 December 2014;0,509027778;Carpobrotus acinaciformis;467;2;466.8;0.6408;Sp;1;299;228,2979578;180,3769986;128,3312391
Dune fynbos-thicket mos.;9;14 December 2014;0,568055556;Carpobrotus acinaciformis;188;2;187.9;0.6408;Sp;1;120;91,62459844;72,39210647;51,50417623
Dune fynbos-thicket mos.;9;14 December 2014;0,568055556;Carpobrotus edulis;203;2;202.7;0.2555;Sp;1;52;39,70399266;31,3699128;22,31847637
Dune fynbos-thicket mos.;10;14 December 2014;0,611111111;Carpobrotus acinaciformis;34;1;67.4;0.6408;Sp;1;43;32,83214777;25,94050482;18,45566315
Dune fynbos-thicket mos.;10;14 December 2014;0,611111111;Carpobrotus edulis;1027;2;1027.2;0.2555;Sp;1;262;200,0470399;158,0560991;112,4507848
Dune fynbos-thicket mos.;33;15 February 2015;0,4875;Carpobrotus edulis;1660;2;1659.7;0.2555;Sp;1;424;323,7402478;255,7854429;181,9814227
Dune fynbos-thicket mos.;35;15 February 2015;0,411111111;Carpobrotus acinaciformis;228;2;227.7;0.6408;Sp;1;146;111,4765948;88,07706287;62,66341441
Dune fynbos-thicket mos.;50;13 May 2015;0,348611111;Chasmanthe aethiopica;93;2;93.0;0.4720;Sp;1;44;33,59568609;26,54377237;18,88486462
Dune fynbos-thicket mos.;50;13 May 2015;0,348611111;Lauridia tetragona;32;2;32.2;NA;NA;NA;0;0;0;0
Dune fynbos-thicket mos.;57;28 May 2015;0,522222222;Cynanchum obtusifolium;425;2;424.6;0.7343;Sp;1;312;238,2239559;188,2194768;133,9108582
Dune fynbos-thicket mos.;57;28 May 2015;0,522222222;Osyris compressa;22;1;43.5;NA;NA;NA;0;0;0;0
Dune fynbos-thicket mos.;65;08 June 2015;0,563194444;Olea europaea subsp africana;403;2;402.8;NA;NA;NA;0;0;0;0
Dune fynbos-thicket mos.;78;17 June 2015;0,588194444;Conicosia pugioniformis;898;2;898.1;0.1558;Sp;1;140;106,8953648;84,45745755;60,0882056
Dune fynbos-thicket mos.;79;17 June 2015;0,624305556;Pelargonium triste;291;2;290.3;0.6182;Sp;3;179;136,6733593;107,9848922;76,82706287
Dune fynbos-thicket mos.;80;17 June 2015;0,666666667;Pelargonium lobatum;154;2;154.2;0.3280;Sp;1;51;38,94045434;30,76664525;21,8892749
Dune fynbos-thicket mos.;80;17 June 2015;0,666666667;Pelargonium triste;243;2;242.7;0.6182;Sp;3;150;114,530748;90,49013309;64,38022028
