age;co2
124029;276
124475;282
124887;276
125363;277
126084;275
126770;273
127032;275
127384;276
127574;277
128094;276
128243;281
128537;286
128948;271
129148;268
129726;261
130443;252
130888;251
131392;241
132046;232
132780;228
133002;225
133846;223
134592;212
136636;204
137833;199
138904;199
140020;193
142431;197
143721;195
144870;196
146178;194
148303;196
149536;202
150665;203
151515;202
153845;199
154959;196
156377;189
158736;189
159786;186
160225;188
163928;204
164405;197
166213;192
166854;190
167984;187
168816;184
169584;197
172009;198
174512;198
175903;196
176923;190
177604;189
177800;190
179943;208
181372;213
182266;218
183328;198
184441;200
186481;203
188507;211
189877;231
191325;231
192034;220
193145;218
195197;227
195870;220
197657;226
198397;241
199008;243
201822;251
