Age;CO2 
2690;285
3897;273
4124;268
6735;262
7873;255
8670;260
10167;262
10983;264
11422;245
11881;238
13356;236
14010;225
20023;182
22827;189
25994;192
29063;189
30020;192
35009;205
37471;209
43500;209
47336;189
48854;188
49690;210
50663;216
52382;190
57088;222
57657;210
62859;195
64939;191
65939;195
71049;227
73227;229
77150;217
78183;222
80614;231
82417;241
83333;236
84016;228
85020;214
86181;217
87917;208
90357;224
91249;228
94353;232
99849;226
100837;231
101749;237
103465;228
104704;237
105636;231
107579;238
108153;246
109804;251
111862;257
113262;266
114096;261
114601;275
115118;273
116501;263
117750;268
118649;274
119672;272
120382;265
121017;278
122344;272
123070;276
124213;269
124257;267
124789;266
125081;280
125262;273
125434;277
126347;274
126598;267
126886;263
127132;263
127622;275
127907;276
128344;274
128372;287
128609;287
128866;283
129146;264
129340;263
129652;258
129736;259
131329;245
131455;240
131728;229
132492;224
133069;224
133105;220
133427;211
134123;209
134287;204
134960;205
135114;200
135207;198
135603;198
135883;202
136011;201
136251;202
136567;196
136655;201
137293;194
137633;193
137982;194
138185;190
139275;192
139617;197
140899;196
140960;196
142058;190
145363;197
148831;203
149803;192
149921;189
151423;201
154480;189
155395;186
155813;188
159562;204
159943;197
161679;192
162228;190
163024;187
163698;184
164439;197
167183;198
169492;198
171351;196
172434;190
173135;189
173394;190
175306;208
177139;213
178179;218
179117;198
180068;200
182046;203
184685;211
186697;231
188436;231
189076;220
190352;218
192910;227
193481;220
195017;226
195673;241
196179;243
198972;251
199918;239
201163;248
202413;244
202874;232
203317;232
203837;229
204480;226
204908;229
205362;231
205952;238
206144;237
206810;230
207120;241
207544;242
208064;245
208254;244
208803;247
208995;252
209432;247
209817;240
210154;257
210813;243
211858;251
212716;241
213270;240
213536;243
213984;248
214459;252
214794;251
215382;245
216352;241
218361;214
219116;216
220058;207
220739;209
222030;206
224269;203
224923;216
225909;236
226711;235
227027;233
227776;225
229423;232
230422;234
231066;242
234817;245
235480;252
236114;241
236734;247
237294;243
237868;239
238558;246
239013;246
239477;247
239973;253
240945;260
241366;263
242007;279
242346;280
243071;264
243429;252
243856;250
244347;237
244864;230
245441;219
247681;215
250133;200
251005;214
251864;195
252739;197
253636;195
255498;199
256309;202
257100;204
258661;204
260353;210
260916;206
262092;209
262930;215
264509;228
265653;200
266326;212
267442;189
268181;187
269154;194
270222;199
271256;185
272311;190
273310;194
274321;194
275350;198
276326;193
277361;202
278350;205
279320;211
280269;215
281758;224
283785;231
285380;228
286128;226
287036;231
287538;230
288233;231
290153;235
290730;220
291367;217
292405;208
293057;206
293779;207
294568;213
295930;213
297921;217
298741;224
299621;231
300472;236
301402;239
302280;236
303226;240
304232;241
304901;250
305655;249
306547;245
307495;226
308744;228
309389;226
310168;233
311013;238
311868;239
312676;242
313414;252
314144;257
314867;257
315572;247
316200;273
316897;252
317734;245
318559;233
319480;256
320358;249
322015;257
322767;260
323526;260
324280;261
324971;266
325720;264
326321;266
326972;270
327590;272
328221;275
329475;265
330208;272
330740;273
331438;273
331944;282
332285;289
332462;288
332919;299
333380;278
333890;286
334261;279
334748;271
335287;256
335918;242
336725;240
337391;234
339298;250
340456;201
341802;205
343282;205
344446;212
345980;220
348298;221
349688;216
350925;209
352275;209
355302;193
356898;186
358712;186
360957;201
363385;206
366235;202
367856;200
369446;215
371090;225
372646;230
376568;227
378096;240
379696;239
381132;247
382670;246
384534;258
385398;265
386144;259
388062;255
389946;250
391896;266
393591;275
395116;277
396636;278
397911;289
401109;280
402769;281
403609;284
404968;276
407442;286
408475;287
409750;278
412453;275
415167;276
416545;280
417391;278
417923;276
418544;277
419934;267
421443;274
423207;273
428394;230
433925;199
437580;202
437601;208
438986;206
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
