species;cal_per_min;hrs_to_2000_cal;co2
Chasmanthe aethiopica;57,57142857;0,578990902;400
Chasmanthe aethiopica;47,9;0,695894224;400
Chasmanthe aethiopica;23,70588235;1,406120761;400
Cyanella lutea;7,7;4,329004329;400
Cyanella lutea;4;8,333333333;400
Cyanella lutea;2,375;14,03508772;400
Cyanella lutea;2,307692308;14,44444444;400
Cyphia digitata;4,15;8,032128514;400
Cyphia digitata;3,694915254;9,021406728;400
Cyphia digitata;3,129411765;10,65162907;400
Cyphia digitata;2,266666667;14,70588235;400
Cyphia digitata;2,875;11,5942029;400
Cyphia digitata;2,069767442;16,10486891;400
Cyphia digitata;1,47107438;22,65917603;400
Ferraria crispa;80,28571429;0,415183867;400
Ferraria crispa;43;0,775193798;400
Ferraria crispa;38;0,877192982;400
Ferraria crispa;20,5;1,62601626;400
Ferraria crispa;13,11538462;2,541544477;400
Pelargonium lobatum;49,3;0,676132522;400
Pelargonium lobatum;23,33333333;1,428571429;400
Pelargonium lobatum;22,92307692;1,454138702;400
Pelargonium lobatum;8,263157895;4,033970276;400
Watsonia meriana;38,48;0,866250866;400
Watsonia meriana;23,14814815;1,44;400
Watsonia meriana;15,09375;2,2084196;400
Chasmanthe aethiopica;43,95799187;0,758299729;300
Chasmanthe aethiopica;36,57348554;0,911407071;300
Chasmanthe aethiopica;18,10034959;1,841585057;300
Cyanella lutea;5,879245067;5,669662169;300
Cyanella lutea;3,054153281;10,91409967;300
Cyanella lutea;1,813403511;18,38164156;300
Cyanella lutea;1,762011508;18,91777277;300
Cyphia digitata;3,168684029;10,51961414;300
Cyphia digitata;2,821209387;11,81526387;300
Cyphia digitata;2,389425802;13,95035297;300
Cyphia digitata;1,730686859;19,2601759;300
Cyphia digitata;2,195172671;15,18483433;300
Cyphia digitata;1,580346756;21,09241735;300
Cyphia digitata;1,123221661;29,67654069;300
Ferraria crispa;61,30121943;0,543762973;300
Ferraria crispa;32,83214777;1,015265086;300
Ferraria crispa;29,01445617;1,148852597;300
Ferraria crispa;15,65253557;2,129580424;300
Ferraria crispa;10,01409874;3,32864037;300
Pelargonium lobatum;37,64243919;0,885525329;300
Pelargonium lobatum;17,81589414;1,870988516;300
Pelargonium lobatum;17,50264765;1,904473769;300
Pelargonium lobatum;6,3092377;5,283258441;300
Watsonia meriana;29,38095457;1,134521796;300
Watsonia meriana;17,67449816;1,885956424;300
Watsonia meriana;11,52465652;2,892349396;300
Chasmanthe aethiopica;36,32396496;0,917667809;240
Chasmanthe aethiopica;30,22189938;1,102952959;240
Chasmanthe aethiopica;14,95692675;2,228621822;240
Cyanella lutea;4,858217646;6,861226846;240
Cyanella lutea;2,523749426;13,20786168;240
Cyanella lutea;1,498476222;22,24481967;240
Cyanella lutea;1,456009284;22,89362691;240
Cyphia digitata;2,61839003;12,73046909;240
Cyphia digitata;2,331260063;14,29841906;240
Cyphia digitata;1,974462786;16,88222921;240
Cyphia digitata;1,430124675;23,3079912;240
Cyphia digitata;1,8139449;18,37615538;240
Cyphia digitata;1,305893599;25,52530571;240
Cyphia digitata;0,928155781;35,91351153;240
Ferraria crispa;50,65525634;0,658042931;240
Ferraria crispa;27,13030633;1,228638296;240
Ferraria crispa;23,97561955;1,390301229;240
Ferraria crispa;12,93421581;2,577143742;240
Ferraria crispa;8,2749861;4,028204148;240
Pelargonium lobatum;31,10521168;1,071631779;240
Pelargonium lobatum;14,72187165;2,264204859;240
Pelargonium lobatum;14,46302556;2,304727541;240
Pelargonium lobatum;5,213534999;6,39361457;240
Watsonia meriana;24,27846948;1,372958594;240
Watsonia meriana;14,6050314;2,282318498;240
Watsonia meriana;9,523210726;3,500220072;240
Chasmanthe aethiopica;24,70974169;1,348995621;180
Chasmanthe aethiopica;20,55875034;1,621369625;180
Chasmanthe aethiopica;10,17459952;3,276132222;180
Cyanella lutea;3,304851308;10,08618247;180
Cyanella lutea;1,716805874;19,41590126;180
Cyanella lutea;1,019353488;32,70046528;180
Cyanella lutea;0,990464927;33,65422885;180
Cyphia digitata;1,781186095;18,71412169;180
Cyphia digitata;1,585863053;21,01904907;180
Cyphia digitata;1,343148125;24,8173174;180
Cyphia digitata;0,972856662;34,26335516;180
Cyphia digitata;1,233954222;27,01342784;180
Cyphia digitata;0,888347226;37,52286535;180
Cyphia digitata;0,631387284;52,79379893;180
Ferraria crispa;34,45874648;0,967340276;180
Ferraria crispa;18,45566315;1,80613035;180
Ferraria crispa;16,30965581;2,04377908;180
Ferraria crispa;8,798630106;3,788468538;180
Ferraria crispa;5,629142338;5,921565193;180
Pelargonium lobatum;21,1596324;1,575326674;180
Pelargonium lobatum;10,01470093;3,328440216;180
Pelargonium lobatum;9,838618279;3,388009615;180
Pelargonium lobatum;3,546559503;9,398780227;180
Watsonia meriana;16,51567251;2,018284954;180
Watsonia meriana;9,93521918;3,355067737;180
Watsonia meriana;6,478259666;5,145414826;180
