Nutrients;CO2;Response;Trait
100%Long Ashton;400;7.066;Stomatal size
100%Long Ashton;400;7.3345;Stomatal size
100%Long Ashton;400;7.7665;Stomatal size
100%Long Ashton;280;5.13725;Stomatal size
100%Long Ashton;280;5.3444;Stomatal size
100%Long Ashton;280;9.9809;Stomatal size
100%Long Ashton;180;5.12325;Stomatal size
100%Long Ashton;180;4.49455;Stomatal size
100%Long Ashton;180;4.77215;Stomatal size
50%Long Ashton;400;6.5827;Stomatal size
50%Long Ashton;400;6.2499;Stomatal size
50%Long Ashton;400;6.4163;Stomatal size
50%Long Ashton;280;4.45625;Stomatal size
50%Long Ashton;280;4.41975;Stomatal size
50%Long Ashton;280;5.26375;Stomatal size
50%Long Ashton;180;6.0821;Stomatal size
50%Long Ashton;180;6.1507;Stomatal size
50%Long Ashton;180;5.07535;Stomatal size
100%Long Ashton;400;157.2697963;Stomatal density
100%Long Ashton;400;138.3974208;Stomatal density
100%Long Ashton;400;150.9790045;Stomatal density
100%Long Ashton;280;276.7948416;Stomatal density
100%Long Ashton;280;374.3021153;Stomatal density
100%Long Ashton;280;84.92569002;Stomatal density
100%Long Ashton;180;380.5929071;Stomatal density
100%Long Ashton;180;342.848156;Stomatal density
100%Long Ashton;180;402.6106786;Stomatal density
50%Long Ashton;400;119.5250452;Stomatal density
50%Long Ashton;400;157.2697963;Stomatal density
50%Long Ashton;400;138.3974208;Stomatal density
50%Long Ashton;280;383.7383031;Stomatal density
50%Long Ashton;280;320.8303845;Stomatal density
50%Long Ashton;280;270.5040497;Stomatal density
50%Long Ashton;180;204.4507352;Stomatal density
50%Long Ashton;180;267.3586538;Stomatal density
50%Long Ashton;180;301.958009;Stomatal density
100%Long Ashton;400;0.65;Stomatal conductance
100%Long Ashton;400;0.7;Stomatal conductance
100%Long Ashton;400;0.7;Stomatal conductance
100%Long Ashton;280;0.69;Stomatal conductance
100%Long Ashton;280;0.73;Stomatal conductance
100%Long Ashton;280;0.51;Stomatal conductance
100%Long Ashton;180;1.01;Stomatal conductance
100%Long Ashton;180;1.05;Stomatal conductance
100%Long Ashton;180;1.28;Stomatal conductance
50%Long Ashton;400;0.71;Stomatal conductance
50%Long Ashton;400;0.66;Stomatal conductance
50%Long Ashton;280;0.9;Stomatal conductance
50%Long Ashton;280;0.56;Stomatal conductance
50%Long Ashton;280;0.65;Stomatal conductance
50%Long Ashton;180;0.8;Stomatal conductance
50%Long Ashton;180;0.64;Stomatal conductance
50%Long Ashton;180;0.98;Stomatal conductance
100%Long Ashton;400;32.89473684;Stomatal index
100%Long Ashton;400;30.98591549;Stomatal index
100%Long Ashton;400;33.8028169;Stomatal index
100%Long Ashton;280;28.75641026;Stomatal index
100%Long Ashton;280;33.57334869;Stomatal index
100%Long Ashton;280;36.05974395;Stomatal index
100%Long Ashton;180;33.4049033;Stomatal index
100%Long Ashton;180;33.63754144;Stomatal index
100%Long Ashton;180;31.68627451;Stomatal index
50%Long Ashton;400;24.67532468;Stomatal index
50%Long Ashton;400;31.64556962;Stomatal index
50%Long Ashton;400;28.16044715;Stomatal index
50%Long Ashton;280;31.43487389;Stomatal index
50%Long Ashton;280;27.03386477;Stomatal index
50%Long Ashton;280;32.11491169;Stomatal index
50%Long Ashton;180;26.83060109;Stomatal index
50%Long Ashton;180;29.92957746;Stomatal index
50%Long Ashton;180;30.31462585;Stomatal index
