Nutrients;CO2;size;density;conductance;index
100%Long Ashton;400;7.066;157.2697963;0.65;32.89473684
100%Long Ashton;400;7.3345;138.3974208;0.7;30.98591549
100%Long Ashton;400;7.7665;150.9790045;0.7;33.8028169
100%Long Ashton;280;5.13725;276.7948416;0.69;28.75641026
100%Long Ashton;280;5.3444;374.3021153;0.73;33.57334869
100%Long Ashton;280;9.9809;84.92569002;0.51;36.05974395
100%Long Ashton;180;5.12325;380.5929071;1.01;33.4049033
100%Long Ashton;180;4.49455;342.848156;1.05;33.63754144
100%Long Ashton;180;4.77215;402.6106786;1.28;31.68627451
50%Long Ashton;400;6.5827;119.5250452;0.71;31.64556962
50%Long Ashton;400;6.2499;157.2697963;0.66;28.16044715
50%Long Ashton;280;4.45625;383.7383031;0.9;31.43487389
50%Long Ashton;280;4.41975;320.8303845;0.56;27.03386477
50%Long Ashton;280;5.26375;270.5040497;0.65;32.11491169
50%Long Ashton;180;6.0821;204.4507352;0.8;26.83060109
50%Long Ashton;180;6.1507;267.3586538;0.64;29.92957746
50%Long Ashton;180;5.07535;301.958009;0.98;30.31462585
