Vegetation Type;CO2;Cal_per_hr
Dune fynbos-thicket mos.;400;219
Dune fynbos-thicket mos.;300;167,2148922
Dune fynbos-thicket mos.;240;132,1155943
Dune fynbos-thicket mos.;180;93,99512162
Dune fynbos-thicket mos.;400;299
Dune fynbos-thicket mos.;300;228,2979578
Dune fynbos-thicket mos.;240;180,3769986
Dune fynbos-thicket mos.;180;128,3312391
Dune fynbos-thicket mos.;400;120
Dune fynbos-thicket mos.;300;91,62459844
Dune fynbos-thicket mos.;240;72,39210647
Dune fynbos-thicket mos.;180;51,50417623
Dune fynbos-thicket mos.;400;52
Dune fynbos-thicket mos.;300;39,70399266
Dune fynbos-thicket mos.;240;31,3699128
Dune fynbos-thicket mos.;180;22,31847637
Dune fynbos-thicket mos.;400;43
Dune fynbos-thicket mos.;300;32,83214777
Dune fynbos-thicket mos.;240;25,94050482
Dune fynbos-thicket mos.;180;18,45566315
Dune fynbos-thicket mos.;400;262
Dune fynbos-thicket mos.;300;200,0470399
Dune fynbos-thicket mos.;240;158,0560991
Dune fynbos-thicket mos.;180;112,4507848
Dune fynbos-thicket mos.;400;424
Dune fynbos-thicket mos.;300;323,7402478
Dune fynbos-thicket mos.;240;255,7854429
Dune fynbos-thicket mos.;180;181,9814227
Dune fynbos-thicket mos.;400;146
Dune fynbos-thicket mos.;300;111,4765948
Dune fynbos-thicket mos.;240;88,07706287
Dune fynbos-thicket mos.;180;62,66341441
Dune fynbos-thicket mos.;400;44
Dune fynbos-thicket mos.;300;33,59568609
Dune fynbos-thicket mos.;240;26,54377237
Dune fynbos-thicket mos.;180;18,88486462
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;312
Dune fynbos-thicket mos.;300;238,2239559
Dune fynbos-thicket mos.;240;188,2194768
Dune fynbos-thicket mos.;180;133,9108582
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;140
Dune fynbos-thicket mos.;300;106,8953648
Dune fynbos-thicket mos.;240;84,45745755
Dune fynbos-thicket mos.;180;60,0882056
Dune fynbos-thicket mos.;400;179
Dune fynbos-thicket mos.;300;136,6733593
Dune fynbos-thicket mos.;240;107,9848922
Dune fynbos-thicket mos.;180;76,82706287
Dune fynbos-thicket mos.;400;51
Dune fynbos-thicket mos.;300;38,94045434
Dune fynbos-thicket mos.;240;30,76664525
Dune fynbos-thicket mos.;180;21,8892749
Dune fynbos-thicket mos.;400;150
Dune fynbos-thicket mos.;300;114,530748
Dune fynbos-thicket mos.;240;90,49013309
Dune fynbos-thicket mos.;180;64,38022028
Dune fynbos-thicket mos.;400;77
Dune fynbos-thicket mos.;300;58,79245067
Dune fynbos-thicket mos.;240;46,45160165
Dune fynbos-thicket mos.;180;33,04851308
Dune fynbos-thicket mos.;400;50
Dune fynbos-thicket mos.;300;38,17691602
Dune fynbos-thicket mos.;240;30,1633777
Dune fynbos-thicket mos.;180;21,46007343
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;53
Dune fynbos-thicket mos.;300;40,46753098
Dune fynbos-thicket mos.;240;31,97318036
Dune fynbos-thicket mos.;180;22,74767783
Dune fynbos-thicket mos.;400;77
Dune fynbos-thicket mos.;300;58,79245067
Dune fynbos-thicket mos.;240;46,45160165
Dune fynbos-thicket mos.;180;33,04851308
Dune fynbos-thicket mos.;400;13
Dune fynbos-thicket mos.;300;9,925998164
Dune fynbos-thicket mos.;240;7,842478201
Dune fynbos-thicket mos.;180;5,579619091
Dune fynbos-thicket mos.;400;11
