age;co2
19;368
22;362
24;360
26;357
27;354
28;354
29;352
30;351
31;350
31;349
32;348
33;345
33;345
34;344
34;343
35;342
37;341
37;339
41;335
43;336
43;332
44;332
46;332
48;328
48;330
49;326
49;327
49;325
50;325
51;325
51;325
51;324
51;320
53;320
53;322
54;321
55;319
55;320
56;319
57;319
57;319
57;317
58;319
58;318
58;317
59;318
60;313
61;312
61;316
62;316
62;315
63;315
63;316
63;314
64;315
65;315
66;313
66;313
66;312
68;312
70;312
70;314
71;310
72;312
73;310
73;313
74;313
74;312
75;312
75;310
75;311
75;310
76;312
78;312
78;313
78;312
79;312
79;308
80;310
80;311
81;311
81;310
82;308
82;312
82;312
82;312
83;307
84;309
84;307
85;306
86;310
86;307
87;306
87;308
88;308
89;306
91;305
91;306
91;306
92;306
92;308
95;305
95;305
97;306
97;303
100;302
101;305
102;304
104;302
106;301
107;301
109;299
109;298
109;298
110;298
111;302
114;300
114;297
115;299
116;296
118;296
120;294
121;297
121;295
126;294
126;293
127;295
127;295
128;295
130;291
131;292
133;294
134;288
136;289
136;290
137;292
140;288
143;289
146;292
147;287
150;286
150;288
152;290
152;288
153;285
156;287
157;285
158;287
161;287
163;283
165;286
166;288
169;285
169;289
170;284
173;287
174;284
175;283
176;284
177;282
179;284
183;284
187;284
187;285
193;286
195;281
206;284
221;283
224;280
224;282
226;282
240;273
241;280
247;278
256;276
257;277
268;278
268;276
271;278
279;277
286;278
297;277
297;278
326;277
330;276
338;277
371;278
380;277
391;274
411;271
417;275
429;279
432;281
447;283
460;282
470;284
490;284
518;283
551;280
571;282
591;280
609;280
630;281
671;278
690;284
713;282
742;278
760;282
769;282
809;284
820;285
854;284
874;285
904;283
921;283
950;283
971;281
980;281
1001;280
1002;280
1037;279
1062;277
1106;280
1145;279
1198;279
1227;280
1258;279
1290;280
1319;277
1351;278
1383;280
1405;278
1438;276
1463;278
1468;277
1502;277
1532;277
1583;280
1614;279
1636;277
1663;278
1702;282
1724;281
1746;280
1754;278
1779;280
1845;278
1866;278
1884;278
1916;278
1964;277
1990;278
2019;277
2070;278
2163;277
2304;277
2336;277
2484;278
2596;278
2698;274
2778;279
2872;275
2975;275
3019;276
3127;275
3326;276
3354;273
3501;274
3598;275
3714;273
3763;273
3877;272
3926;275
4039;275
4179;272
4276;272
4345;273
4413;272
4564;271
4663;269
4717;270
4843;272
4991;271
5052;269
5157;269
5289;270
5381;268
5428;265
5603;265
5651;268
5828;266
5922;266
6004;261
6069;267
6160;266
6372;263
6407;263
6471;261
6642;261
6753;259
6840;262
6950;263
7040;258
7108;258
7258;262
7344;263
7475;261
7568;258
7731;260
7790;260
7930;260
7996;259
8046;261
8186;260
8265;259
8422;258
8530;261
8617;261
8781;262
8851;259
8982;261
9063;260
9130;259
9213;262
9365;264
9431;264
9507;265
9588;261
9594;261
9626;263
9643;264
9971;264
10063;264
10205;264
10263;263
10370;266
10437;265
10576;268
10750;267
10872;266
10906;265
11024;268
11160;265
11231;265
11256;265
11271;265
11327;264
11387;264
11409;265
11453;265
11470;268
11487;264
11506;270
11523;269
11543;269
11560;267
11577;268
11594;270
11614;267
11630;263
11646;267
11662;261
11681;261
11699;266
11718;257
11735;248
11753;255
11771;254
11790;256
11811;256
11829;259
11851;258
11873;259
11891;257
11913;254
11933;254
11953;252
11975;256
11997;259
12018;249
12040;254
12061;255
12086;248
12107;248
12129;253
12150;251
12175;256
12195;253
12216;251
12238;251
12260;251
12281;250
12303;249
12326;249
12351;249
12371;249
12391;251
12413;247
12435;244
12458;243
12479;246
12502;248
12525;246
12545;246
12566;244
12591;247
12614;250
12635;244
12657;247
12678;248
12700;247
12724;244
12744;243
12767;244
12790;242
12810;247
12833;240
12856;241
12879;242
12900;242
12923;239
12944;241
12963;239
12987;239
13009;238
13030;241
13051;237
13071;239
13092;235
13114;239
13137;238
13158;242
13198;235
13243;237
13286;239
13337;240
13374;237
13488;238
13557;240
13602;236
13671;244
13715;239
13783;242
13829;241
13897;239
13942;238
14010;241
14072;236
14093;238
14130;241
14154;233
14190;236
14227;239
14250;239
14276;238
14307;237
14343;240
14369;239
14379;236
14413;242
14424;238
14445;240
14481;243
14492;243
14513;241
14534;239
14567;242
14591;241
14601;243
14612;236
14623;242
14634;240
14646;240
14656;238
14665;235
14676;238
14689;238
14700;240
14715;238
14722;235
14734;233
14745;234
14756;237
14767;229
14777;228
14788;231
14801;235
14813;231
14829;228
14833;225
14846;227
14858;228
14869;229
14881;228
14892;227
14905;228
14915;228
14928;233
14939;232
14951;228
14962;231
14974;229
14986;228
14999;228
15024;229
15046;230
15057;228
15081;228
15105;225
15143;229
15166;234
15204;230
15227;229
15251;228
15289;230
15313;228
15351;226
15391;228
15415;229
15453;225
15480;225
15533;223
15616;224
15719;223
15775;222
15838;225
15915;222
15990;224
16007;224
16065;224
16069;224
16085;222
16104;224
16153;224
16184;222
16221;225
16237;226
16257;221
16279;227
16293;223
16311;220
16331;219
16349;214
16367;213
16387;215
16407;212
16424;215
16445;211
16462;210
16481;213
16501;212
16528;217
16542;214
16580;208
16624;209
16660;208
16726;213
16804;210
16868;206
16939;205
16999;203
17065;204
17162;202
17234;199
17306;198
17358;196
17382;195
17430;191
17455;193
17480;192
17505;191
17531;193
17555;191
17581;192
17605;192
17631;193
17656;197
17682;196
17708;193
17735;194
17761;192
17787;190
17814;190
17840;192
17868;187
17895;191
17925;190
17951;190
17977;192
18006;189
18036;189
18062;189
18094;188
18120;188
18152;189
18181;189
18210;185
18243;189
18272;186
18302;189
18335;189
18366;189
18394;187
18430;189
18461;188
18492;188
18528;187
18557;187
18590;188
18653;189
18747;194
18817;191
18874;193
18905;188
18937;188
19064;193
19223;191
19352;192
19513;192
19638;189
19699;191
19861;194
19954;196
20089;194
20283;190
20478;190
20607;194
20736;188
20898;193
21034;191
21138;188
21283;190
21415;187
21633;185
21861;188
21984;191
22126;187
22301;191
22362;187
22418;187
22620;185
22674;185
22721;188
22819;190
22904;186
23064;189
23084;191
23177;190
23255;189
23347;198
23428;194
23515;187
23671;188
23944;183
24148;185
24340;187
24714;181
25234;181
25421;183
25614;183
25856;187
26086;185
26325;185
26385;184
26531;186
26607;186
26774;185
26928;186
27025;188
27112;187
27155;186
27240;195
27350;190
27512;192
27573;191
27620;192
27656;192
27731;191
27757;193
27784;191
27789;189
27891;188
27936;191
27955;189
27997;189
28043;189
28167;190
28284;192
28342;192
28440;193
28484;189
28497;190
28647;193
28696;193
28794;194
28912;194
28973;193
29019;193
29079;193
29221;192
29275;188
29320;192
29394;191
29436;190
29480;189
29679;189
29751;190
29813;191
29908;191
30022;191
30069;192
30172;188
30252;188
30348;187
30383;186
30471;184
30599;183
30783;187
30846;190
31175;188
31426;188
31594;190
31862;194
31888;193
32004;193
32097;193
32150;194
32218;196
32221;197
32378;192
32431;195
32505;194
32581;195
32665;194
32748;195
32784;196
32883;199
32951;197
33079;196
33218;198
33488;197
33561;197
33625;198
33828;200
33911;196
33956;195
33978;194
33996;194
34027;196
34062;195
34134;196
34260;195
34321;196
34383;196
34404;196
34627;200
34673;199
34690;200
34718;199
34781;197
34896;203
34937;203
35160;199
35236;204
35352;205
35407;204
35429;204
35453;201
35516;200
35567;201
35579;202
35601;202
35638;202
35743;202
35772;201
35925;203
36018;199
36157;204
36243;202
36332;200
36576;199
36662;205
36740;204
36783;204
36890;203
37010;204
37093;206
37189;210
37213;207
37367;208
37372;210
37408;207
37501;213
37531;210
37689;214
37718;212
37847;212
37965;214
38070;211
38159;214
38236;208
38262;207
38354;207
38429;208
38483;211
38543;207
38603;210
38644;208
38692;205
38741;204
38793;207
38883;206
38945;206
39026;206
39047;202
39124;204
39191;207
39336;209
39373;209
39390;209
39410;208
39449;205
39473;192
39524;198
39585;200
39691;196
39779;197
39827;194
39955;194
39971;198
40113;193
40182;193
40215;194
40378;198
40556;201
40623;201
40824;200
40977;201
41238;202
41374;204
41676;205
41829;201
41971;200
42386;201
42698;205
42920;206
43038;204
43242;203
43421;202
43586;204
43731;203
43879;202
44165;204
44274;202
44420;206
44561;205
44726;212
44886;210
45066;211
45212;208
45350;214
45530;215
45766;218
45947;223
46127;222
46251;219
46379;218
46706;216
46816;214
46958;211
47156;210
47385;208
47594;204
47780;204
48014;206
48293;206
48498;201
49058;202
49373;200
49533;204
49798;204
50077;204
50291;207
50597;207
51099;208
51501;212
51850;215
52157;214
52455;219
52644;221
52871;221
53178;224
53470;223
53876;221
54227;220
54457;218
54765;214
55084;217
55363;208
55623;215
55980;210
56307;208
56574;212
