age;co2
150665;203
151515;202
153845;199
154959;196
156377;189
158736;189
159786;186
160225;188
163928;204
164405;197
166213;192
166854;190
167984;187
168816;184
169584;197
172009;198
174512;198
175903;196
176923;190
177604;189
177800;190
179943;208
181372;213
182266;218
183328;198
184441;200
186481;203
188507;211
189877;231
191325;231
192034;220
193145;218
195197;227
195870;220
197657;226
198397;241
199008;243
201822;251
202815;239
203912;248
205273;244
205646;232
206015;232
206430;229
206967;226
207310;229
207693;231
208179;238
208345;237
208892;230
209152;241
209515;242
210036;245
